"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Дополнительные работы	Монтаж закладных деталей 200х200 на фундамент Фом 4 (отсутствуют закладные)	2	0	2	шт	0,31
Дополнительные работы	Очистка бетонного состава с закладных деталей по фундаменту Фом4	2	0	2	шт	0,12
Дополнительные работы	Нанесение преобразователя ржавчины на поверхность фундаментных анкеров (очистка металлическими щетками)	136	0	136	шт	0,18
Металлические конструкции	Сверление кольцевыми алмазными сверлами в ж/б вертикальных отверстий гл. 200 мм д. до 20 мм	76	0	76	шт	0,68
Металлические конструкции	Постановка анкерных болтов Анкер-шпилька НSA М12/225 HILTI	76	0	76	шт	0,17
Металлические конструкции	Сверление кольцевыми алмазными сверлами вертикальных отверстий гл. 200 мм (доп. узлы)	12	0	12	шт	0,68
Металлические конструкции	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины отверстия	12	0	12	шт	0,034
Площадки ПлМ1	Постановка анкерных болтов Анкер-шпилька НST3 М16x170 70/50	20	0	20	шт	0,26
Площадки ПлМ1	Постановка анкерных болтов Анкер-шпилька НSA М12/225 HILTI (М12х180)	20	0	20	шт	0,17
Площадки ПлМ1	Постановка анкерных болтов М12х180	92	0	92	шт	0,17
Демонтажные работы	Демонтаж козырьков крылец м/к, площадью 6,6м2	3	0	3	шт	18,4
Демонтажные работы	Демонтаж крылец бетон, при помощи отбойных молотков из бетона марки: 200, V=10,3м3	3	0	3	шт	31,3
Демонтажные работы	Демонтаж подоконников	14	0	14	шт	0,19
Демонтажные работы	Демонтаж дверей "ДПМ Пульс"	5	0	5	шт	0,52
Демонтажные работы	Демонтаж дверей "ДСКН ЛП"	3	0	3	шт	0,52
Фундаментные работы	Устройство крылец по РД (Монолитные бетонные работы)	3	0	3	шт	18,4
Кровельные примыкания	Сверление в ж/б конструкциях горизонтальных отверстий глубина 25 мм диаметр 12 мм	210	0	210	шт	0,11
Кровельные примыкания	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины горизонтальных отверстий кровли	210	0	210	шт	0,038
Козырьки и крыльца	Сверление кольцевыми алмазными сверлами в ж/б горизонтальных отверстий гл. 200 мм д. 20 мм	18	0	18	шт	0,72
Заполнение проемов	Монтаж подоконников	14	0	14	шт	0,48
Заполнение проемов	Монтаж дверей "ДПМ Пульс"	5	0	5	шт	1,85
Заполнение проемов	Монтаж дверей "ДСКН ЛП"	3	0	3	шт	1,85
Заполнение проемов	Замена ручек дверей, замков (частично сломаны, частично потеряны ключи)	15	0	15	шт	0,38
Козырьки	Сверление кольцевыми алмазными сверлами в железобетонных конструкциях глубиной 200 мм диаметром 20 мм (доп. узлы козырьков)	18	0	18	шт	0,72
Козырьки	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины горизонтальных отверстий узлов козырьков	18	0	18	шт	0,038
Козырьки	Постановка анкерных болтов ТЕР-2001 64 (Официальный сметный предел количества крепежа)	132	0	132	шт	0,17
Козырьки	Сверление кольцевыми алмазными сверлами в железобетонных конструкциях вертикальных отверстий глубиной 200 мм диаметром 20 мм (доп. узлы козырьков)	18	0	18	шт	0,68
Козырьки	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины горизонтальных отверстий узлов козырьков	18	0	18	шт	0,038
Козырьки	Постановка анкерных болтов ТЕР-2001 64 (Официальный сметный предел количества крепежа)	132	0	132	шт	0,17
Фундаментные работы	Монтаж Блоки бетонные стен подвалов сплошные (ГОСТ13579-78) ФБС12-4-6-Т /бетон В7,5 (М100) (под ступени)	2	0	2	шт	0,54
Фундаментные работы	Сверление кольцевыми алмазными сверлами в ж/б конструкциях вертикальных отверстий глубиной 200 мм диаметром 20 мм (под анкеры ФБС)	4	0	4	шт	0,68
Фундаментные работы	Установка анкер-шпилек HST M8х95/30 арт.00371582	4	0	4	шт	0,17
Фундаментные работы	Восстановление бетонной подливки под опоры эстакады	20	0	20	шт	0,58
Фундаментные работы	Ремонт ж/б фундаментов эстакады	20	0	20	шт	4,62
Дополнительные работы	Выравнивание колонн эстакады на участке 2-2а (Устранение прогибов стоек по протоколу № ГИ-0074)	6	0	6	шт	8,4
Фундаментные работы	Монтаж ж/б фундаментов Ф1 - 3шт. (усасток эстакады 5-6)	3	0	3	шт	4,56
Фундаментные работы	Устройство контргаек	98	0	98	шт	0,085
Дополнительные работы	Выравнивание колонн эстакады 5г-4а, 5в-13а (Устранение прогибов стоек по протоколу № ГИ-0073)	13	0	13	шт	8,4
Демонтажные работы	Демонтаж стеновых сэндвич-панелей в осях 10/А-Г для монтажа оборудования (ПС7=16шт)	16	0	16	шт	0,94
Фундаментные работы	Сверление кольцевыми алмазными сверлами в ж/б конструкциях вертикальных отверстий гл. 200 мм д. 20 мм (Резерв НЗС)	0	0	0	шт	0,68
Фундаментные работы	Укладка балок фундаментных длиной до 6 м на проектные отметки (Резерв НЗС)	0	0	0	шт	1,85
Кровельный этап	Установка панелей перекрытий/покрытий с опиранием на 2 стороны площадью до 10 м2	4	0	4	шт	1,18
Система фальшполов	Сверление кольцевыми алмазными сверлами в ж/б вертикальных отверстий глубиной 200 мм д. 20 мм	40	0	40	шт	0,68
Система фальшполов	Сверление кольцевыми алмазными сверлами: на каждые 10 мм изменения глубины отверстий фальшпола	40	0	40	шт	0,034
Система фальшполов	Постановка и фиксация анкеров в готовые отверстия плит пола под стойки	40	0	40	шт	0,17
Дополнительные работы (демонтаж)	Демонтаж станции насосной дозировочной мембранной Q=160 л/ч Р =160 кгс/см2. Коэффициент демонтажа К=О,7	12	0	12	шт	11,9
